Profile Summary
Generated on: 2022-05-01 01:27:12
Msec since Epoch: 1651339632252
Profiled application: colordetect
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.12.427
Build version branch: 2021.2
Build version hash: 2719b6027e185000fc49783171631db03fc0ef79
Build version date: N/A
Target devices: xilinx_u50_gen3x16_xdma_201920_3-0
Flow mode: Software Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,5,49.5856,4.79844,9.91712,14.1664,
clCreateCommandQueue,1,0.004379,0.004379,0.004379,0.004379,
clCreateContext,1,0.038532,0.038532,0.038532,0.038532,
clCreateKernel,1,1.34102,1.34102,1.34102,1.34102,
clCreateProgramWithBinary,1,305.129,305.129,305.129,305.129,
clEnqueueMigrateMemObjects,1,0.012103,0.012103,0.012103,0.012103,
clEnqueueReadBuffer,1,27.4874,27.4874,27.4874,27.4874,
clEnqueueTask,1,13.0061,13.0061,13.0061,13.0061,
clEnqueueWriteBuffer,1,4.49031,4.49031,4.49031,4.49031,
clFinish,1,0.002204,0.002204,0.002204,0.002204,
clGetDeviceIDs,2,0.003526,0.000901,0.001763,0.002625,
clGetDeviceInfo,2,0.008345,0.002354,0.0041725,0.005991,
clGetExtensionFunctionAddress,2,0.019767,0.002715,0.0098835,0.017052,
clGetExtensionFunctionAddressForPlatform,2,0.004649,0.001082,0.0023245,0.003567,
clGetPlatformInfo,14,0.010318,0.000551,0.000737,0.002114,
clReleaseCommandQueue,1,0.003657,0.003657,0.003657,0.003657,
clReleaseContext,1,6.05852,6.05852,6.05852,6.05852,
clReleaseDevice,2,0.003146,0.001292,0.001573,0.001854,
clReleaseEvent,1,0.02664,0.02664,0.02664,0.02664,
clReleaseKernel,1,6.86349,6.86349,6.86349,6.86349,
clReleaseMemObject,11,0.027288,0.000741,0.00248073,0.015669,
clReleaseProgram,1,0.027161,0.027161,0.027161,0.027161,
clRetainDevice,2,0.001684,0.000742,0.000842,0.000942,
clRetainMemObject,6,0.006954,0.000682,0.001159,0.002284,
clSetKernelArg,7,0.034845,0.000722,0.00497786,0.018385,
clWaitForEvents,1,1.1406e+06,1.1406e+06,1.1406e+06,1.1406e+06,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
color_detect,1,1.14055e+06,1.14055e+06,1.14055e+06,1.14055e+06,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
27454992,color_detect,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,473.708,1.14055e+06,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
24899584,0,0,421.465,N/A,24883.2,N/A,
24891392,0,0,408.419,N/A,0.027,N/A,
8192,0,0,404.324,N/A,24883.2,N/A,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
24903680,0,0,1.14102e+06,N/A,8294.4,N/A,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u50_gen3x16_xdma_201920_3-0,color_detect_1,color_detect,1:1:1,1:1:1,1,No,0,1.000000x,1.14055e+06,1.14055e+06,1.14055e+06,1.14055e+06,300,









Guidance Parameters
Parameter,Element,Value,
PORT_BIT_WIDTH,color_detect_1/m_axi_gmem2,8,
PORT_BIT_WIDTH,color_detect_1/m_axi_gmem3,8,
PORT_BIT_WIDTH,color_detect_1/m_axi_gmem4,8,
KERNEL_COUNT,color_detect,1,
TRACE_MEMORY,all,NA,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_201920_3-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_201920_3-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM,512,
APPLICATION_RUN_TIME_MS,all,1.14114e+06,
MIGRATE_MEM,host,1,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,color_detect,1,
COMMAND_QUEUE_OOO,27595056,0,
KERNEL_BUFFER_INFO,color_detect|img_in|HBM[0]|1,24883200,
KERNEL_BUFFER_INFO,color_detect|low_thresh|HBM[0]|1,9,
KERNEL_BUFFER_INFO,color_detect|high_thresh|HBM[0]|1,9,
KERNEL_BUFFER_INFO,color_detect|process_shape|HBM[0]|1,9,
KERNEL_BUFFER_INFO,color_detect|img_out|HBM[0]|1,8294400,
BUFFER_RD_ACTIVE_TIME_MS,all,27.4055,
BUFFER_WR_ACTIVE_TIME_MS,all,69.2224,
BUFFER_TX_ACTIVE_TIME_MS,all,1.14064e+06,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
XRT_INI_SETTING,profile,1,Profiling (deprecated)
XRT_INI_SETTING,opencl_summary,0,Generation of OpenCL summary report
XRT_INI_SETTING,opencl_device_counter,1,Hardware counters added to OpenCL summary file
XRT_INI_SETTING,timeline_trace,1,Timeline trace (deprecated)
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,xrt_profile,0,Equivalent to xrt_trace (deprecated)
XRT_INI_SETTING,data_transfer_trace,fine,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,continuous_trace_interval_ms,10,Interval for offloading trace (in ms; deprecated)
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
XRT_INI_SETTING,aie_trace_buffer_size,8M,Size of buffer to allocate for AI Engine trace
XRT_INI_SETTING,aie_trace_metrics,functions,Configuration level used for AI Engine trace
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_profile_interval_us,1000,Interval for reading AI Engine profile counters (in us)
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,Metric set for AI Engine core modules
XRT_INI_SETTING,aie_profile_memory_metrics,conflicts,Metric set for AI Engine memory modules
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
